sampleID,SRA_sampleID2,SRA_sampleID2
1-M-1-1,RNAseq_At_0cGy_1h_Rep1,RNAseq_At_0cGy_1h_1
2-M-1-2,RNAseq_At_0cGy_1h_Rep2,RNAseq_At_0cGy_1h_2
3-M-1-3,RNAseq_At_0cGy_1h_Rep3,RNAseq_At_0cGy_1h_3
4-0-1-1-1,RNAseq_At_10cGy_1h_Rep1,RNAseq_At_10cGy_1h_1
5-0-1-1-2,RNAseq_At_10cGy_1h_Rep2,RNAseq_At_10cGy_1h_2
6-0-1-1-3,RNAseq_At_10cGy_1h_Rep3,RNAseq_At_10cGy_1h_3
7-1-1-1,RNAseq_At_100cGy_1h_Rep1,RNAseq_At_100cGy_1h_1
8-1-1-2,RNAseq_At_100cGy_1h_Rep2,RNAseq_At_100cGy_1h_2
9-1-1-3,RNAseq_At_100cGy_1h_Rep3,RNAseq_At_100cGy_1h_3
10-M-3-1,RNAseq_At_0cGy_3h_Rep1,RNAseq_At_0cGy_3h_1
11-M-3-2,RNAseq_At_0cGy_3h_Rep2,RNAseq_At_0cGy_3h_2
12-M-3-3,RNAseq_At_0cGy_3h_Rep3,RNAseq_At_0cGy_3h_3
13-0-1-3-1,RNAseq_At_10cGy_3h_Rep1,RNAseq_At_10cGy_3h_1
14-0-1-3-2,RNAseq_At_10cGy_3h_Rep2,RNAseq_At_10cGy_3h_2
15-0-1-3-3,RNAseq_At_10cGy_3h_Rep3,RNAseq_At_10cGy_3h_3
16-1-3-1,RNAseq_At_100cGy_3h_Rep1,RNAseq_At_100cGy_3h_1
17-1-3-2,RNAseq_At_100cGy_3h_Rep2,RNAseq_At_100cGy_3h_2
18-1-3-3,RNAseq_At_100cGy_3h_Rep3,RNAseq_At_100cGy_3h_3
19-M-24-1,RNAseq_At_0cGy_24h_Rep1,RNAseq_At_0cGy_24h_1
20-M-24-2,RNAseq_At_0cGy_24h_Rep2,RNAseq_At_0cGy_24h_2
21-M-24-3,RNAseq_At_0cGy_24h_Rep3,RNAseq_At_0cGy_24h_3
22-0-1-24-1,RNAseq_At_10cGy_24h_Rep1,RNAseq_At_10cGy_24h_1
23-0-1-24-2,RNAseq_At_10cGy_24h_Rep2,RNAseq_At_10cGy_24h_2
24-0-1-24-3,RNAseq_At_10cGy_24h_Rep3,RNAseq_At_10cGy_24h_3
25-1-24-1,RNAseq_At_100cGy_24h_Rep1,RNAseq_At_100cGy_24h_1
26-1-24-2,RNAseq_At_100cGy_24h_Rep2,RNAseq_At_100cGy_24h_2
27-1-24-3,RNAseq_At_100cGy_24h_Rep3,RNAseq_At_100cGy_24h_3
28-M-72-1,RNAseq_At_0cGy_72h_Rep1,RNAseq_At_0cGy_72h_1
29-M-72-2,RNAseq_At_0cGy_72h_Rep2,RNAseq_At_0cGy_72h_2
30-M-72-3,RNAseq_At_0cGy_72h_Rep3,RNAseq_At_0cGy_72h_3
31-0-1-72-1,RNAseq_At_10cGy_72h_Rep1,RNAseq_At_10cGy_72h_1
32-0-1-72-2,RNAseq_At_10cGy_72h_Rep2,RNAseq_At_10cGy_72h_2
33-0-1-72-3,RNAseq_At_10cGy_72h_Rep3,RNAseq_At_10cGy_72h_3
34-1-72-1,RNAseq_At_100cGy_72h_Rep1,RNAseq_At_100cGy_72h_1
35-1-72-2,RNAseq_At_100cGy_72h_Rep2,RNAseq_At_100cGy_72h_2
36-1-72-3,RNAseq_At_100cGy_72h_Rep3,RNAseq_At_100cGy_72h_3
