condition,sample,SRA_sample_ID,tech_Lane,R1,R2
0Gy_0U,0Gy_0U_1,WGBS_At_0cGy_72h_0U_Rep1,Lane1,WGBS_At_0cGy_72h_0U_1_R1_L001.fastq.gz,WGBS_At_0cGy_72h_0U_1_R2_L001.fastq.gz
0Gy_0U,0Gy_0U_1,WGBS_At_0cGy_72h_0U_Rep1,Lane2,WGBS_At_0cGy_72h_0U_1_R1_L002.fastq.gz,WGBS_At_0cGy_72h_0U_1_R2_L002.fastq.gz
0Gy_0U,0Gy_0U_1,WGBS_At_0cGy_72h_0U_Rep1,Lane3,WGBS_At_0cGy_72h_0U_1_R1_L003.fastq.gz,WGBS_At_0cGy_72h_0U_1_R2_L003.fastq.gz
0Gy_0U,0Gy_0U_1,WGBS_At_0cGy_72h_0U_Rep1,Lane4,WGBS_At_0cGy_72h_0U_1_R1_L004.fastq.gz,WGBS_At_0cGy_72h_0U_1_R2_L004.fastq.gz
0Gy_0U,0Gy_0U_1,WGBS_At_0cGy_72h_0U_Rep1,Lane5,WGBS_At_0cGy_72h_0U_1_R1_L005.fastq.gz,WGBS_At_0cGy_72h_0U_1_R2_L005.fastq.gz
0Gy_0U,0Gy_0U_1,WGBS_At_0cGy_72h_0U_Rep1,Lane6,WGBS_At_0cGy_72h_0U_1_R1_L006.fastq.gz,WGBS_At_0cGy_72h_0U_1_R2_L006.fastq.gz
0Gy_0U,0Gy_0U_1,WGBS_At_0cGy_72h_0U_Rep1,Lane7,WGBS_At_0cGy_72h_0U_1_R1_L007.fastq.gz,WGBS_At_0cGy_72h_0U_1_R2_L007.fastq.gz
0Gy_0U,0Gy_0U_2,WGBS_At_0cGy_72h_0U_Rep2,Lane1,WGBS_At_0cGy_72h_0U_2_R1_L001.fastq.gz,WGBS_At_0cGy_72h_0U_2_R2_L001.fastq.gz
0Gy_0U,0Gy_0U_2,WGBS_At_0cGy_72h_0U_Rep2,Lane2,WGBS_At_0cGy_72h_0U_2_R1_L002.fastq.gz,WGBS_At_0cGy_72h_0U_2_R2_L002.fastq.gz
0Gy_0U,0Gy_0U_2,WGBS_At_0cGy_72h_0U_Rep2,Lane3,WGBS_At_0cGy_72h_0U_2_R1_L003.fastq.gz,WGBS_At_0cGy_72h_0U_2_R2_L003.fastq.gz
0Gy_0U,0Gy_0U_2,WGBS_At_0cGy_72h_0U_Rep2,Lane4,WGBS_At_0cGy_72h_0U_2_R1_L004.fastq.gz,WGBS_At_0cGy_72h_0U_2_R2_L004.fastq.gz
0Gy_0U,0Gy_0U_2,WGBS_At_0cGy_72h_0U_Rep2,Lane5,WGBS_At_0cGy_72h_0U_2_R1_L005.fastq.gz,WGBS_At_0cGy_72h_0U_2_R2_L005.fastq.gz
0Gy_0U,0Gy_0U_2,WGBS_At_0cGy_72h_0U_Rep2,Lane6,WGBS_At_0cGy_72h_0U_2_R1_L006.fastq.gz,WGBS_At_0cGy_72h_0U_2_R2_L006.fastq.gz
0Gy_0U,0Gy_0U_2,WGBS_At_0cGy_72h_0U_Rep2,Lane7,WGBS_At_0cGy_72h_0U_2_R1_L007.fastq.gz,WGBS_At_0cGy_72h_0U_2_R2_L007.fastq.gz
0Gy_100U,0Gy_100U_1,WGBS_At_0cGy_72h_100U_Rep1,Lane1,WGBS_At_0cGy_72h_100U_1_R1_L001.fastq.gz,WGBS_At_0cGy_72h_100U_1_R2_L001.fastq.gz
0Gy_100U,0Gy_100U_1,WGBS_At_0cGy_72h_100U_Rep1,Lane2,WGBS_At_0cGy_72h_100U_1_R1_L002.fastq.gz,WGBS_At_0cGy_72h_100U_1_R2_L002.fastq.gz
0Gy_100U,0Gy_100U_1,WGBS_At_0cGy_72h_100U_Rep1,Lane3,WGBS_At_0cGy_72h_100U_1_R1_L003.fastq.gz,WGBS_At_0cGy_72h_100U_1_R2_L003.fastq.gz
0Gy_100U,0Gy_100U_1,WGBS_At_0cGy_72h_100U_Rep1,Lane4,WGBS_At_0cGy_72h_100U_1_R1_L004.fastq.gz,WGBS_At_0cGy_72h_100U_1_R2_L004.fastq.gz
0Gy_100U,0Gy_100U_1,WGBS_At_0cGy_72h_100U_Rep1,Lane5,WGBS_At_0cGy_72h_100U_1_R1_L005.fastq.gz,WGBS_At_0cGy_72h_100U_1_R2_L005.fastq.gz
0Gy_100U,0Gy_100U_1,WGBS_At_0cGy_72h_100U_Rep1,Lane6,WGBS_At_0cGy_72h_100U_1_R1_L006.fastq.gz,WGBS_At_0cGy_72h_100U_1_R2_L006.fastq.gz
0Gy_100U,0Gy_100U_1,WGBS_At_0cGy_72h_100U_Rep1,Lane7,WGBS_At_0cGy_72h_100U_1_R1_L007.fastq.gz,WGBS_At_0cGy_72h_100U_1_R2_L007.fastq.gz
